episode,reward
1,0.09396
2,0.018420000000000002
3,0.03
4,0.02941
5,0.04
6,0.03
7,0.1981
8,0.05
9,0.05
10,0.25207
11,0.06723
12,0.06536
13,0.0
14,0.23303000000000001
15,0.30688999999999994
16,0.03941
17,0.0
18,0.15236
19,0.04563
20,0.08
21,0.019409999999999997
22,0.038009999999999995
23,0.0
24,0.2
25,0.13444
26,0.37699
27,0.34762
28,0.18746
29,0.26846
30,0.29241999999999996
31,0.31006999999999996
32,0.44333999999999996
33,0.4646100000000001
34,0.22089999999999999
35,0.45756
36,0.27548
37,0.17778
38,0.27621
39,0.19932000000000002
40,0.5038199999999999
41,0.47342
42,0.27427
43,0.39519999999999994
44,0.35557
45,0.5125
46,0.48029000000000005
47,0.39923999999999993
48,0.24
49,0.33229
50,0.47328000000000003
51,0.50802
52,0.24
53,0.42682000000000003
54,0.23
55,0.36423
56,0.5098200000000002
57,0.52785
58,0.5234
59,0.53605
60,0.28633
61,0.42940999999999996
62,0.55023
63,0.32638000000000006
64,0.43435
65,0.5078
66,0.4558900000000001
67,0.48194999999999993
68,0.6124600000000001
69,0.27688
70,0.5265900000000001
71,0.51573
72,0.22
73,0.6041799999999999
74,0.28675
75,0.46846000000000004
76,0.51822
77,0.47411000000000003
78,0.53933
79,0.60236
80,0.54664
81,0.6303300000000001
82,0.52516
83,0.7108900000000001
84,0.5933
85,0.5889
86,0.6010800000000001
87,0.52292
88,0.5799799999999999
89,0.58675
90,0.30644
91,0.55683
92,0.5327000000000001
93,0.6738600000000001
94,0.6405600000000001
95,0.5828099999999999
96,0.6456000000000001
97,0.48046999999999995
98,0.5966400000000001
99,0.30670000000000003
100,0.24932
101,0.59128
102,0.6304200000000001
103,0.5878300000000001
104,0.50783
105,0.36566000000000004
106,0.63571
107,0.59572
108,0.47190999999999994
109,0.2
110,0.36372
111,0.5766100000000001
112,0.27
113,0.56332
114,0.6303799999999999
115,0.55965
116,0.6296
117,0.61631
118,0.6179800000000001
119,0.2757
120,0.46789000000000003
121,0.47889
122,0.53383
123,0.54786
124,0.53345
125,0.38349000000000005
126,0.58652
127,0.5850900000000001
128,0.5661100000000001
129,0.55706
130,0.22941
131,0.33421
132,0.5170800000000001
133,0.40320999999999996
134,0.23
135,0.59096
136,0.58367
137,0.6123100000000001
138,0.56258
139,0.5481
140,0.62451
141,0.54274
142,0.56576
143,0.53024
144,0.51097
145,0.50487
146,0.55829
147,0.2686
148,0.31670000000000004
149,0.39507999999999993
150,0.53401
151,0.27941
152,0.5232300000000001
153,0.25941
154,0.57182
155,0.29878
156,0.41980000000000006
157,0.29841999999999996
158,0.5614
159,0.28751
160,0.5731400000000001
161,0.41290999999999994
162,0.62902
163,0.58968
164,0.56696
165,0.58713
166,0.5685600000000001
167,0.38259
168,0.54557
169,0.57307
170,0.56496
171,0.59188
172,0.46013999999999994
173,0.60268
174,0.6335400000000001
175,0.54752
176,0.5065899999999999
177,0.6137400000000002
178,0.5919100000000002
179,0.26905
180,0.5364000000000001
181,0.5726100000000002
182,0.5506
183,0.29774
184,0.5753100000000001
185,0.56285
186,0.60012
187,0.5472100000000001
188,0.55453
189,0.40457
190,0.24
191,0.57289
192,0.25872999999999996
193,0.54371
194,0.43087000000000003
195,0.6052400000000001
196,0.5812900000000001
197,0.62182
198,0.26905
199,0.5128
200,0.5877800000000001
201,0.54222
202,0.5639900000000001
203,0.5698600000000001
204,0.53055
205,0.5515399999999999
206,0.50008
207,0.56207
208,0.5125
209,0.5515800000000001
210,0.55237
211,0.55739
212,0.22
213,0.46010000000000006
214,0.57548
215,0.47784999999999994
216,0.26837
217,0.5179
218,0.5219900000000001
219,0.40167
220,0.54712
221,0.5628000000000001
222,0.54959
223,0.51608
224,0.30738
225,0.43099000000000004
226,0.5074599999999999
227,0.40287
228,0.53384
229,0.50448
230,0.22
231,0.33513000000000004
232,0.41196
233,0.22941
234,0.49483000000000005
235,0.5378000000000001
236,0.23896
237,0.44236999999999993
238,0.52678
239,0.4792200000000001
240,0.24
241,0.36394
242,0.50445
243,0.5363600000000001
244,0.5871800000000001
245,0.42108000000000007
246,0.47273
247,0.32475000000000004
248,0.54122
249,0.5128199999999999
250,0.6709500000000002
251,0.60163
252,0.61143
253,0.25687
254,0.5212699999999999
255,0.61836
256,0.24
257,0.57706
258,0.50803
259,0.6175
260,0.58941
261,0.6865300000000002
262,0.56091
263,0.6653500000000001
264,0.63346
265,0.6206200000000001
266,0.53675
267,0.61418
268,0.6061200000000001
269,0.57156
270,0.5240800000000001
271,0.5770600000000001
272,0.53626
273,0.5849500000000001
274,0.57245
275,0.4981300000000001
276,0.49206000000000005
277,0.52574
278,0.53352
279,0.5745300000000001
280,0.5167600000000001
281,0.60507
282,0.6144799999999999
283,0.29738
284,0.5454600000000001
285,0.4714400000000001
286,0.58684
287,0.6146500000000001
288,0.49066000000000004
289,0.57652
290,0.5341600000000001
291,0.54852
292,0.53432
293,0.48321
294,0.47936
295,0.58396
296,0.5548299999999999
297,0.4789
298,0.50322
299,0.5345000000000001
300,0.49869
301,0.31593
302,0.23940999999999998
303,0.6276900000000001
304,0.5114599999999999
305,0.57725
306,0.61745
307,0.47880999999999996
308,0.31661
309,0.42206999999999995
310,0.32
311,0.36508
312,0.55012
313,0.34674999999999995
314,0.59577
315,0.5671599999999999
316,0.64899
317,0.51862
318,0.24
319,0.43953000000000003
320,0.61948
321,0.5499100000000001
322,0.58411
323,0.47082
324,0.51679
325,0.31814
326,0.44299999999999995
327,0.35407000000000005
328,0.5758099999999999
329,0.26
330,0.25896
331,0.25669000000000003
332,0.26842
333,0.47125
334,0.56011
335,0.55195
336,0.44177999999999995
337,0.53408
338,0.57915
339,0.60619
340,0.57582
341,0.62985
342,0.59783
343,0.31566000000000005
344,0.25842
345,0.48795
346,0.4025
347,0.6091700000000001
348,0.5907100000000001
349,0.55888
350,0.53463
351,0.6281800000000001
352,0.55606
353,0.55866
354,0.5778
355,0.26819
356,0.49855000000000005
357,0.45956
358,0.5818800000000001
359,0.53506
360,0.45241
361,0.5936
362,0.5495899999999999
363,0.55774
364,0.42282
365,0.52564
366,0.55348
367,0.22
368,0.26742
369,0.31566
370,0.22941
371,0.30724
372,0.22941
373,0.48768
374,0.5591900000000001
375,0.62106
376,0.46643
377,0.57296
378,0.5579500000000001
379,0.23
380,0.30638
381,0.51858
382,0.23
383,0.48355
384,0.52389
385,0.22
386,0.5562100000000001
387,0.62604
388,0.50669
389,0.53327
390,0.49476
391,0.41864999999999997
392,0.28788
393,0.56544
394,0.43229
395,0.6652600000000003
396,0.42223
397,0.24
398,0.49349000000000004
399,0.22
400,0.26842
401,0.35481999999999997
402,0.48064
403,0.22
404,0.5359
405,0.43727000000000005
406,0.5314
407,0.31657
408,0.41114000000000006
409,0.53167
410,0.55102
411,0.47521
412,0.5393400000000002
413,0.25896
