episode,reward
1,0.14806
2,0.12855
3,0.09887
4,0.11932000000000001
5,0.01761
6,0.08
7,0.16567
8,0.28594
9,0.17629999999999998
10,0.17923000000000003
11,0.38255
12,0.09795999999999999
13,0.34271999999999997
14,0.31112
15,0.35869
16,0.36137
17,0.33932
18,0.43932000000000004
19,0.48914
20,0.3551200000000001
21,0.44016
22,0.47974000000000006
23,0.40789000000000003
24,0.5285500000000001
25,0.44265
26,0.32763999999999993
27,0.5248
28,0.52734
29,0.5767300000000001
30,0.5569400000000001
31,0.49561
32,0.4908799999999999
33,0.52422
34,0.27941
35,0.5576399999999999
36,0.24
37,0.43536
38,0.38545999999999997
39,0.5380199999999999
40,0.5908400000000001
41,0.4405800000000001
42,0.4706200000000001
43,0.53078
44,0.6195200000000001
45,0.5791800000000001
46,0.5402699999999999
47,0.6000800000000001
48,0.5501999999999999
49,0.5649000000000001
50,0.37485999999999997
51,0.54938
52,0.54224
53,0.57913
54,0.26
55,0.5742900000000001
56,0.6855200000000002
57,0.6011200000000002
58,0.6030000000000001
59,0.5771800000000001
60,0.56044
61,0.30648
62,0.24941
63,0.45963
64,0.46031999999999995
65,0.5753600000000002
66,0.60139
67,0.48766000000000004
68,0.53429
69,0.56842
70,0.50753
71,0.5686400000000001
72,0.53217
73,0.53075
74,0.49433
75,0.5992000000000001
76,0.55851
77,0.52717
78,0.62225
79,0.24887
80,0.3748
81,0.52765
82,0.57872
83,0.59742
84,0.50771
85,0.26
86,0.56938
87,0.5895500000000001
88,0.53647
89,0.52083
90,0.46653000000000006
91,0.5200499999999999
92,0.48849000000000004
93,0.54778
94,0.56092
95,0.65589
96,0.5367999999999999
97,0.56257
98,0.29841999999999996
99,0.5594700000000001
100,0.5398299999999999
101,0.48804000000000003
102,0.37941
103,0.5178999999999999
104,0.55987
105,0.58417
106,0.46901999999999994
107,0.4759399999999999
108,0.45803
109,0.35367999999999994
110,0.5238999999999999
111,0.6008
112,0.50085
113,0.49510999999999994
114,0.23
115,0.52941
116,0.5136700000000001
117,0.5080899999999999
118,0.6432000000000002
119,0.5512400000000001
120,0.50875
121,0.48019
122,0.40308
123,0.2786
124,0.41206000000000004
125,0.25
126,0.39484
127,0.59635
128,0.5930500000000001
129,0.56598
130,0.6159800000000001
131,0.50743
132,0.31905
133,0.61084
134,0.46866
135,0.5859599999999999
136,0.49052999999999997
137,0.23
138,0.53037
139,0.5496400000000001
140,0.53685
141,0.57361
142,0.23
143,0.51717
144,0.28833
145,0.53145
146,0.52723
147,0.5882100000000001
148,0.44348999999999994
149,0.33610999999999996
150,0.55517
151,0.5035200000000001
152,0.51658
153,0.45756
154,0.47805
155,0.53878
156,0.64345
157,0.48277000000000003
158,0.49300000000000005
159,0.43176000000000003
160,0.41003999999999996
161,0.5147999999999999
162,0.5768800000000001
163,0.63506
164,0.5583
165,0.5944699999999999
166,0.51627
167,0.24932
168,0.58306
169,0.5727
170,0.5087999999999999
171,0.52739
172,0.6064599999999999
173,0.42493000000000003
174,0.5986899999999999
175,0.52617
176,0.51036
177,0.55405
178,0.5316000000000001
179,0.51481
180,0.22
181,0.6278400000000001
182,0.3
183,0.22837
184,0.49073000000000006
185,0.5535700000000001
186,0.30725
187,0.45769000000000004
188,0.24896000000000001
189,0.52055
190,0.46853
191,0.31634
192,0.56615
193,0.26733
194,0.51865
195,0.45209000000000005
196,0.49767000000000006
197,0.50286
198,0.50664
199,0.37549
200,0.5337400000000001
201,0.55342
202,0.5377400000000001
203,0.46941000000000005
204,0.30638
205,0.50497
206,0.5346799999999999
207,0.37421
208,0.6163600000000001
209,0.5342100000000001
210,0.6303000000000002
211,0.5520099999999999
212,0.5127700000000001
213,0.5484199999999999
214,0.47772
215,0.58828
216,0.46806
217,0.5356000000000001
218,0.33480000000000004
219,0.27782
220,0.5492000000000001
221,0.25846
222,0.24881999999999999
223,0.51464
224,0.5297
225,0.53744
226,0.35396
227,0.24
228,0.41143
229,0.55661
230,0.49616
231,0.34494
232,0.5326500000000001
233,0.50164
234,0.49011999999999994
235,0.51951
236,0.40297
237,0.52512
238,0.35436
239,0.4869
240,0.25851
241,0.29
242,0.31579999999999997
243,0.5981500000000001
244,0.5197999999999999
245,0.43247
246,0.59362
247,0.23782
248,0.34427
249,0.41463
250,0.46244
251,0.27714
252,0.28706
253,0.5135000000000001
254,0.5077099999999999
255,0.2681
256,0.5272
257,0.5245200000000001
258,0.5729700000000001
259,0.49729
260,0.47861
261,0.40219
262,0.27824
263,0.24786999999999998
264,0.45067
265,0.36421
266,0.48796000000000006
267,0.54307
268,0.54464
269,0.25941
270,0.4989700000000001
271,0.46820999999999996
272,0.6274000000000001
273,0.55702
274,0.57507
275,0.46875999999999995
276,0.39683
277,0.5224000000000002
278,0.51381
279,0.55328
280,0.5142899999999999
281,0.23
282,0.31648
283,0.42133000000000004
284,0.5462
285,0.23
286,0.23
287,0.24
288,0.54085
289,0.5274
290,0.3754
291,0.37341
292,0.30887
293,0.28741999999999995
294,0.28706
295,0.57867
296,0.47733999999999993
297,0.26837
298,0.33239
299,0.47007000000000004
300,0.49389000000000005
301,0.28779
302,0.27941
303,0.28
304,0.50651
305,0.5824900000000001
306,0.55317
307,0.5463
308,0.25828
309,0.47182
310,0.49799000000000004
311,0.28752
312,0.29565
313,0.5121
314,0.5106100000000001
315,0.22923000000000002
316,0.46943999999999997
317,0.50669
318,0.2667
319,0.50908
320,0.5055099999999999
321,0.4689
322,0.2967
323,0.51858
324,0.58498
325,0.49887
326,0.44994
327,0.5651500000000002
328,0.56812
329,0.25833
330,0.39230999999999994
331,0.49602
332,0.28737999999999997
333,0.5567500000000002
334,0.40484000000000003
335,0.26850999999999997
336,0.24
337,0.24941
338,0.33501000000000003
339,0.45043
340,0.6298400000000001
341,0.60044
342,0.517
343,0.53738
344,0.37476
345,0.5224399999999999
346,0.39629
347,0.56556
348,0.53534
349,0.578
350,0.48989000000000005
351,0.5152
352,0.23
353,0.29841999999999996
354,0.6189100000000001
355,0.5777300000000001
356,0.6162700000000001
357,0.5059699999999999
358,0.53951
359,0.43204
360,0.26832999999999996
361,0.23
362,0.40069000000000005
363,0.23
364,0.35477000000000003
365,0.5184000000000001
366,0.48878
367,0.26846
368,0.3821
369,0.49174000000000007
370,0.53317
371,0.51677
372,0.40256000000000003
373,0.27729
374,0.43182999999999994
375,0.25872999999999996
376,0.50836
377,0.26842
378,0.38246
379,0.35462000000000005
380,0.59447
381,0.54212
382,0.50759
383,0.5551300000000001
384,0.46125
385,0.26905
386,0.53415
387,0.24682
388,0.5341100000000001
389,0.44602
390,0.34706000000000004
391,0.40396
392,0.61224
393,0.46204999999999996
394,0.51425
395,0.48156999999999994
396,0.44185
397,0.43078000000000005
398,0.30611
399,0.27842
400,0.29716000000000004
401,0.49713999999999997
402,0.31842
403,0.24
404,0.31534
405,0.5833800000000002
406,0.44054999999999994
407,0.23
408,0.32567
409,0.56236
410,0.54163
411,0.23
412,0.55808
413,0.39257999999999993
414,0.27783
415,0.25837
416,0.39186
417,0.26733
418,0.50296
419,0.31462
420,0.41179000000000004
421,0.49635999999999997
422,0.5176700000000001
423,0.28797
424,0.23940999999999998
425,0.33535
426,0.31625
427,0.44276
428,0.5403600000000001
429,0.53668
430,0.25905
431,0.50776
432,0.24
433,0.31756
434,0.45866
435,0.43192
436,0.29638
437,0.24
438,0.42090000000000005
439,0.58324
440,0.46033999999999997
441,0.50711
442,0.46161
443,0.555
444,0.49835999999999997
445,0.4892099999999999
446,0.23
447,0.47722000000000003
448,0.43117000000000005
449,0.5423100000000001
450,0.5700700000000001
451,0.45797000000000004
452,0.38144
453,0.53007
454,0.24
455,0.46685000000000004
456,0.5674100000000002
457,0.34702
458,0.2866
459,0.23932000000000003
460,0.23
461,0.31747
462,0.5058800000000001
463,0.59201
464,0.40087000000000006
465,0.32539
466,0.4952500000000001
467,0.5832200000000001
468,0.33597
469,0.50891
470,0.29611
471,0.5765299999999999
472,0.34476999999999997
473,0.6075500000000001
474,0.55887
475,0.54487
476,0.5561
477,0.59055
478,0.65766
479,0.46925999999999995
480,0.5568200000000001
481,0.23
482,0.32687
483,0.32638
484,0.49052000000000007
485,0.35420999999999997
486,0.2962
487,0.5591
488,0.50689
489,0.28878
490,0.35552999999999996
491,0.5288100000000001
492,0.45121
493,0.51649
494,0.47864000000000007
495,0.6118100000000001
496,0.25764
497,0.35422
498,0.24
499,0.54535
500,0.53667
501,0.42402999999999996
502,0.24905000000000002
503,0.32599000000000006
504,0.56354
505,0.53527
506,0.24941
507,0.50495
508,0.24905000000000002
509,0.42
510,0.50932
511,0.6614800000000003
512,0.42144999999999994
513,0.2681
514,0.23
515,0.5170100000000001
516,0.5510700000000001
517,0.47159999999999996
518,0.22
519,0.34238999999999997
520,0.5193899999999999
521,0.5420900000000001
522,0.5183800000000001
523,0.54954
524,0.35521
525,0.35445
526,0.47009
527,0.51349
528,0.5556900000000001
529,0.5415700000000001
530,0.24941
531,0.508
532,0.5283100000000001
533,0.58412
534,0.39584
535,0.56284
536,0.26683
537,0.33566
538,0.5660200000000001
539,0.5019800000000001
540,0.34552
541,0.23
542,0.37473
543,0.5552900000000001
544,0.50283
545,0.36254000000000003
546,0.5872300000000001
547,0.58774
548,0.5256799999999999
549,0.5091300000000001
550,0.5469799999999999
551,0.5226900000000001
552,0.45165
553,0.28751
554,0.5188099999999999
555,0.35561
556,0.25
557,0.29747
558,0.28706
559,0.24
560,0.24
561,0.24
562,0.33535
563,0.48706000000000005
564,0.52771
565,0.49846
566,0.27751
567,0.26769
568,0.37249000000000004
569,0.46921
570,0.25905
571,0.51599
572,0.55972
573,0.46866
574,0.46853
575,0.42114999999999997
576,0.28741999999999995
577,0.27665
578,0.38548000000000004
579,0.26
580,0.24932
581,0.25
582,0.39209000000000005
583,0.55005
584,0.24
585,0.23
586,0.40375999999999995
587,0.45116999999999996
588,0.35747
589,0.5101
590,0.40131999999999995
591,0.48017
592,0.56984
593,0.26
594,0.25
595,0.28833
596,0.46086
597,0.2781
598,0.25828
599,0.5355500000000001
600,0.47973999999999994
601,0.5201100000000001
602,0.43146
